Offence Code,ID,Dispatch_Time,Start_Time_crime,End_Time_crime,Victims,Crime Name1,Crime Name2,Crime Name3,Agency,Place,Latitude_crime,Longitude_crime,Police District Number_crime,Start_Time_dispatch,End_Time_dispatch,Priority,Initial Type,Close Type,Longitude_dispatch,Latitude_dispatch,Police District Number_dispatch,Arrive Cleared,Type Change,long,lat,PRA,Incident_ID,match_status,month_year_crime,Start_Time,Police_district_Number,hour,month,day,categories_crime,categories_dispatch,category
,0,,,,,,,,Unknown,,,,,2022-12-24 03:27:10,2022-12-24 04:01:28,1.0,"SUSPICIOUS CIRC, PERSONS, VEHICLE","SUSPICIOUS CIRC, PERSONS, VEHICLE",-77.2095,39.08722,1D,1273.0,False,-77.2095,39.08722,237.0,2200345920.0,Dispatch,,2022-12-24 03:27:10,1D,3,12,24,no crime report,other,no crime report
,0,,,,,,,,Unknown,,,,,2019-07-10 19:03:20,2019-07-10 19:12:59,1.0,"MISSING, RUNAWAY, FOUND PERSON","MISSING, RUNAWAY, FOUND PERSON",-77.1215,39.13267,1D,,False,-77.1215,39.13267,396.0,1900229283.0,Dispatch,,2019-07-10 19:03:20,1D,19,7,10,no crime report,runaway,no crime report
,0,,,,,,,,Unknown,,,,,2021-06-09 09:25:20,2021-06-09 09:50:26,4.0,PARKING OFFENSE,PARKING OFFENSE,-77.1494,39.0808,1D,,False,-77.1494,39.0808,262.0,2100139336.0,Dispatch,,2021-06-09 09:25:20,1D,9,6,9,no crime report,traffic or accident,no crime report
,0,,,,,,,,Unknown,,,,,2018-08-09 21:45:22,2018-08-09 22:07:21,4.0,"ADMINISTRATIVE (DOCUMENT, LOST OR FOUND PROPERTY, MESSAGES,","ADMINISTRATIVE (DOCUMENT, LOST OR FOUND PROPERTY, MESSAGES,",-77.1872,39.14018,6D,,False,-77.1872,39.14018,432.0,1800275171.0,Dispatch,,2018-08-09 21:45:22,6D,21,8,9,no crime report,not a crime,no crime report
,190008980,,,,,,,,Unknown,,,,,2019-02-25 13:10:47,2019-02-25 14:14:25,0.0,SUICIDAL PERSON/ATTEMPTED SUICIDE,SUICIDAL PERSON/ATTEMPTED SUICIDE,-77.007,38.99835,3D,3604.0,False,-77.007,38.99835,126.0,1900063916.0,Dispatch,,2019-02-25 13:10:47,3D,13,2,25,no crime report,suicide,no crime report
,0,,,,,,,,Unknown,,,,,2021-08-12 17:31:43,2021-08-12 17:57:28,2.0,TRAFFIC VIOLATION,TRAFFIC VIOLATION,-77.05542465,39.04001717,4D,107.0,False,-77.05542465,39.04001717,319.0,2100201196.0,Dispatch,,2021-08-12 17:31:43,4D,17,8,12,no crime report,traffic or accident,no crime report
,0,,,,,,,,Unknown,,,,,2020-04-29 13:45:43,2020-04-29 14:25:03,2.0,TRESPASSING/UNWANTED,TRESPASSING/UNWANTED,-76.9945,39.04814,3D,1688.0,False,-76.9945,39.04814,151.0,2000116346.0,Dispatch,,2020-04-29 13:45:43,3D,13,4,29,no crime report,other,no crime report
,0,,,,,,,,Unknown,,,,,2019-07-28 16:21:51,2019-07-28 16:36:57,1.0,"SUSPICIOUS CIRC, PERSONS, VEHICLE","SUSPICIOUS CIRC, PERSONS, VEHICLE",-77.2738,39.1974,5D,428.0,False,-77.2738,39.1974,465.0,1900250419.0,Dispatch,,2019-07-28 16:21:51,5D,16,7,28,no crime report,other,no crime report
,0,,,,,,,,Unknown,,,,,2023-09-17 18:16:32,2023-09-17 19:00:09,2.0,STATION RESPONSE,STATION RESPONSE,-77.2618,39.18398,5D,23.0,False,-77.2618,39.18398,702.0,2300273943.0,Dispatch,,2023-09-17 18:16:32,5D,18,9,17,no crime report,not a crime,no crime report
,0,,,,,,,,Unknown,,,,,2023-09-15 08:45:15,2023-09-15 09:27:35,4.0,"VANDALISM, DAMAGE, MISCHIEF - OCCURRED EARLIER","VANDALISM, DAMAGE, MISCHIEF - OCCURRED EARLIER",-77.0899,39.08459,4D,1345.0,False,-77.0899,39.08459,528.0,2300271505.0,Dispatch,,2023-09-15 08:45:15,4D,8,9,15,no crime report,theft from property,no crime report
